"filename", "language", "Java", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\almacen\Almacen.java", "Java", 38, 50, 14, 102
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\almacen\AlmacenCentral.java", "Java", 44, 60, 11, 115
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\ApoyoMenu.java", "Java", 922, 164, 36, 1122
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Monedas.java", "Java", 33, 34, 9, 76
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Simulador.java", "Java", 137, 17, 10, 164
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Activo.java", "Java", 25, 18, 4, 47
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Carnivoro.java", "Java", 42, 33, 8, 83
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroActivo.java", "Java", 33, 21, 7, 61
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroComedido.java", "Java", 30, 21, 6, 57
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroLongevo.java", "Java", 7, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroLongevoVoraz.java", "Java", 7, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroVoraz.java", "Java", 25, 22, 6, 53
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroVorazComedido.java", "Java", 30, 22, 6, 58
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Comedido.java", "Java", 22, 18, 4, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Filtrador.java", "Java", 22, 18, 4, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Longevo.java", "Java", 16, 7, 6, 29
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Omnivoro.java", "Java", 46, 34, 8, 88
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroComedido.java", "Java", 34, 22, 5, 61
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroLongevo.java", "Java", 7, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroVoraz.java", "Java", 29, 22, 4, 55
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Voraz.java", "Java", 18, 18, 5, 41
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Pez.java", "Java", 159, 147, 29, 335
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\PezMar.java", "Java", 3, 3, 4, 10
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\PezRio.java", "Java", 3, 3, 4, 10
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesDoble\Bagre.java", "Java", 18, 11, 4, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesDoble\Dorada.java", "Java", 18, 11, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesDoble\LubinaEuropea.java", "Java", 18, 11, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesDoble\SalmonAtlantico.java", "Java", 18, 11, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesDoble\TruchaArcoiris.java", "Java", 18, 11, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Abadejo.java", "Java", 17, 12, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\ArenqueAtlantico.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Besugo.java", "Java", 17, 11, 5, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Caballa.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Cobia.java", "Java", 17, 13, 5, 35
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Corvina.java", "Java", 17, 12, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\LenguadoEuropeo.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\LubinaRayada.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Robalo.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Rodaballo.java", "Java", 17, 12, 4, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesMar\Sargo.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\Carpa.java", "Java", 17, 12, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\CarpaPlateada.java", "Java", 17, 11, 7, 35
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\CarpinTresEspinas.java", "Java", 17, 12, 4, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\Koi.java", "Java", 17, 12, 5, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\LucioDelNorte.java", "Java", 17, 12, 4, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\Pejerrey.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\PercaEuropea.java", "Java", 17, 12, 4, 33
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\SalmonChinook.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\SiluroEuropeo.java", "Java", 17, 13, 4, 34
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\pecesRio\TilapiaDelNilo.java", "Java", 17, 11, 4, 32
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\Piscifactoria.java", "Java", 128, 127, 28, 283
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\PiscifactoriaMar.java", "Java", 11, 8, 3, 22
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\PiscifactoriaRio.java", "Java", 11, 8, 3, 22
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\Tanque.java", "Java", 127, 106, 23, 256
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\TanqueMar.java", "Java", 9, 8, 2, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\piscifactoria\TanqueRio.java", "Java", 9, 8, 2, 19
"Total", "-", 2474, 1317, 383, 4174